area,province,city,20230921_high,20230921_low,20230921_wea,20230922_high,20230922_low,20230922_wea,20230923_high,20230923_low,20230923_wea,20230924_high,20230924_low,20230924_wea,20230925_high,20230925_low,20230925_wea,20230926_high,20230926_low,20230926_wea,20230927_high,20230927_low,20230927_wea,20230928_high,20230928_low,20230928_wea,20230929_high,20230929_low,20230929_wea,20230930_high,20230930_low,20230930_wea,20231001_high,20231001_low,20231001_wea,20231002_high,20231002_low,20231002_wea,20231003_high,20231003_low,20231003_wea,20231004_high,20231004_low,20231004_wea,20231005_high,20231005_low,20231005_wea,20231006_high,20231006_low,20231006_wea,20231007_high,20231007_low,20231007_wea,20231008_high,20231008_low,20231008_wea,20231009_high,20231009_low,20231009_wea,20231010_high,20231010_low,20231010_wea,20231011_high,20231011_low,20231011_wea,20231012_high,20231012_low,20231012_wea,20231013_high,20231013_low,20231013_wea,20231014_high,20231014_low,20231014_wea,20231015_high,20231015_low,20231015_wea,20231016_high,20231016_low,20231016_wea,20231017_high,20231017_low,20231017_wea,20231018_high,20231018_low,20231018_wea,20231019_high,20231019_low,20231019_wea,20231020_high,20231020_low,20231020_wea,20231021_high,20231021_low,20231021_wea,20231022_high,20231022_low,20231022_wea,20231023_high,20231023_low,20231023_wea,20231024_high,20231024_low,20231024_wea,20231025_high,20231025_low,20231025_wea,20231026_high,20231026_low,20231026_wea,20231027_high,20231027_low,20231027_wea,20231028_high,20231028_low,20231028_wea,20231029_high,20231029_low,20231029_wea,20231030_high,20231030_low,20231030_wea,20231031_high,20231031_low,20231031_wea,20231101_high,20231101_low,20231101_wea,20231102_high,20231102_low,20231102_wea,20231103_high,20231103_low,20231103_wea,20231104_high,20231104_low,20231104_wea
华北,北京市,北京市,27,16,晴,27,16,多云,25,15,多云,20,15,小雨,22,15,多云,23,16,多云,27,13,多云,26,15,晴,27,14,晴,25,11,晴,26,11,晴,25,14,多云,25,15,多云,24,9,晴,22,12,多云,22,11,多云,22,11,多云,22,12,小雨,24,10,晴,22,10,多云,23,12,多云,18,11,小雨,23,9,小雨,24,10,晴,23,7,晴,20,8,晴,22,14,多云,23,11,晴,20,6,晴,18,5,晴,21,6,晴,23,7,晴,22,8,晴,24,9,晴,25,10,晴,22,7,晴,22,8,晴,21,7,多云,22,8,多云,21,9,多云,21,9,多云,21,10,多云,19,10,阴,16,7,多云,15,5,多云
华北,北京市,东城,27,17,晴,27,17,多云,25,16,多云,20,15,阴,22,16,多云,23,17,多云,26,13,多云,26,16,晴,27,15,晴,24,11,晴,26,12,晴,25,14,多云,25,16,多云,25,9,晴,23,13,多云,22,11,多云,23,13,多云,21,13,小雨,24,10,晴,22,11,多云,23,12,多云,18,11,小雨,23,10,小雨,23,11,晴,23,8,晴,19,9,晴,22,12,多云,23,12,晴,20,8,晴,18,6,晴,21,6,晴,23,7,晴,22,8,晴,24,10,晴,26,10,晴,23,9,晴,21,8,晴,21,7,多云,22,8,多云,21,9,多云,21,9,多云,21,10,多云,19,10,阴,16,7,多云,15,5,多云
华北,北京市,西城,27,15,晴,28,16,多云,25,15,多云,20,15,小雨,23,15,多云,23,17,多云,27,12,多云,26,13,晴,27,11,晴,24,11,晴,26,12,晴,25,14,多云,25,16,多云,25,9,晴,23,13,多云,22,11,多云,23,13,多云,21,11,小雨,24,9,晴,22,10,多云,23,12,多云,18,10,小雨,24,8,小雨,23,11,晴,23,7,晴,20,8,晴,22,12,多云,23,9,晴,20,4,晴,19,5,晴,21,5,晴,23,6,晴,22,7,晴,24,8,晴,28,8,晴,24,7,晴,23,7,晴,21,7,多云,22,8,多云,20,9,多云,21,9,多云,21,9,多云,19,10,阴,16,7,多云,15,4,多云
华北,北京市,丰台,27,15,晴,28,16,多云,24,15,多云,20,14,小雨,23,15,多云,23,16,多云,27,11,多云,25,14,晴,27,11,晴,24,11,晴,26,12,晴,25,13,多云,25,15,多云,25,8,晴,22,12,多云,22,10,多云,22,12,多云,22,12,多云,24,10,晴,22,9,多云,22,11,多云,18,9,小雨,23,8,小雨,23,10,晴,23,8,晴,19,8,晴,22,13,多云,22,11,晴,21,5,晴,18,4,晴,22,5,晴,22,7,晴,21,7,晴,24,9,晴,26,9,晴,23,8,晴,22,8,晴,21,7,多云,22,8,多云,21,9,多云,21,9,多云,21,10,多云,19,10,阴,16,7,多云,15,5,多云
华北,北京市,石景山,27,15,晴,28,16,多云,24,15,多云,20,14,小雨,23,15,多云,23,16,多云,27,11,多云,25,14,晴,27,11,晴,24,11,晴,26,12,晴,25,13,多云,25,15,多云,25,8,晴,22,12,多云,22,10,多云,22,12,多云,22,12,多云,24,10,晴,22,9,多云,22,11,多云,18,9,小雨,23,8,小雨,23,10,晴,23,8,晴,19,8,晴,22,13,多云,22,11,晴,21,5,晴,18,4,晴,22,5,晴,22,6,晴,22,7,晴,24,7,晴,27,8,晴,22,7,晴,22,7,晴,21,6,多云,21,8,多云,20,9,多云,21,9,多云,21,9,多云,19,10,阴,16,7,多云,15,4,多云
华北,北京市,海淀,27,15,晴,28,16,多云,25,15,多云,20,15,小雨,23,15,多云,23,17,多云,27,12,多云,26,13,晴,27,11,晴,24,11,晴,26,12,晴,25,14,多云,25,16,多云,25,9,晴,23,13,多云,22,11,多云,23,13,多云,21,11,小雨,24,9,晴,22,10,多云,23,12,多云,18,10,小雨,24,8,小雨,23,11,晴,23,7,晴,20,8,晴,22,12,多云,23,9,晴,20,4,晴,19,5,晴,21,5,晴,23,6,晴,22,7,晴,24,8,晴,28,8,晴,24,7,晴,23,7,晴,21,7,多云,22,8,多云,20,9,多云,21,9,多云,21,9,多云,19,10,阴,16,7,多云,15,4,多云
华北,北京市,门头沟,27,15,晴,26,16,多云,24,15,多云,20,14,小雨,22,16,多云,22,15,多云,26,12,多云,25,14,晴,26,13,晴,24,12,晴,25,12,晴,24,13,多云,24,14,多云,25,8,晴,22,11,多云,22,10,多云,22,12,多云,22,13,多云,24,10,晴,22,11,多云,23,11,多云,17,10,小雨,23,9,小雨,23,9,晴,23,8,晴,19,8,晴,21,13,多云,22,12,晴,20,7,晴,18,7,晴,22,7,晴,22,7,晴,21,8,晴,24,9,晴,27,11,晴,22,8,晴,22,9,晴,20,10,晴,20,10,晴,18,11,阵雨,17,9,晴,19,9,阵雨,16,10,阵雨,14,6,晴,12,5,晴
华北,北京市,房山,27,14,晴,28,15,多云,25,15,多云,20,14,小雨,22,14,多云,23,16,多云,26,10,多云,26,12,晴,26,11,晴,25,10,晴,26,11,晴,25,13,多云,24,13,多云,25,7,晴,22,10,多云,21,10,多云,24,11,多云,21,10,多云,24,8,晴,22,8,多云,23,10,多云,18,9,小雨,23,7,小雨,23,8,晴,23,7,晴,20,7,晴,22,13,多云,23,10,晴,20,5,晴,19,2,晴,22,5,晴,22,7,晴,21,7,晴,24,9,晴,26,9,晴,23,8,晴,22,8,晴,21,7,多云,22,8,多云,21,9,多云,21,9,多云,21,10,多云,19,10,阴,16,7,多云,15,5,多云
华北,北京市,通州,27,15,晴,27,16,多云,25,14,多云,20,14,阴,22,14,多云,23,14,多云,26,11,多云,26,13,晴,26,14,晴,25,10,晴,26,10,晴,25,13,多云,25,13,多云,24,8,晴,22,11,多云,22,9,多云,22,11,多云,21,10,小雨,24,8,晴,22,9,多云,23,10,多云,18,9,小雨,22,8,晴,23,9,晴,22,5,晴,21,5,晴,21,13,多云,22,11,晴,20,6,晴,18,3,晴,21,4,晴,22,5,晴,21,7,晴,23,6,晴,27,9,晴,22,6,晴,22,7,晴,20,9,晴,21,10,晴,20,11,晴,18,10,晴,19,9,阵雨,16,10,阵雨,14,6,晴,13,5,晴
华北,北京市,顺义,27,16,晴,27,17,多云,24,15,多云,20,14,阴,22,16,多云,23,16,多云,26,12,多云,26,14,晴,27,13,晴,25,11,晴,26,12,晴,24,13,多云,24,13,多云,25,8,晴,22,11,多云,22,11,多云,23,13,多云,22,12,小雨,24,10,晴,22,11,多云,23,12,多云,17,11,小雨,22,9,小雨,23,9,晴,23,7,晴,19,9,晴,21,11,多云,23,10,晴,20,6,晴,18,5,晴,21,6,晴,23,7,晴,22,8,晴,24,9,晴,28,9,晴,24,8,晴,22,9,晴,19,9,晴,20,10,晴,19,11,晴,18,9,晴,19,10,阵雨,16,10,阵雨,14,6,晴,12,5,晴
