table_name,field_name,field_type,comment
data_goods_weight,goods_no,int,商品货号
data_goods_weight,real_value,mediumint,实际重量，单位g
data_goods_weight,calculate_value,mediumint,测算重量，单位g
data_goods_weight,category_value,mediumint,品类重量，单位g
data_goods_weight,created_at,timestamp,新增时间
data_goods_weight,updated_at,timestamp,修改时间
fmys_abnormal_work,abnormal_id,int,异常id
fmys_abnormal_work,work_id,int,工单id
fmys_abnormal_work,status,tinyint,异常工单处理状态：1:待处理；2:已经处理；
fmys_abnormal_work,unpacking_num,int,拆包数量
fmys_abnormal_work,handle_admin,int,处理人
fmys_abnormal_work,handle_time,int,处理时间
fmys_abnormal_work,create_admin,int,创建人
fmys_abnormal_work,create_time,int,创建时间
fmys_abnormal_work_info,dbid,int,打标id
fmys_abnormal_work_info,to_where,tinyint,"库区{1:正常区,2:库存区,3:退换区,4:售后区,5:次品区}"
fmys_abnormal_work_info,abnormal_id,int,异常工单id
fmys_activity_fee_refund,id,int,主键id
fmys_activity_fee_refund,supply_id,int,供应商id
fmys_activity_fee_refund,goods_num,smallint,商品数量
fmys_activity_fee_refund,pay_tool,tinyint,"支付方式:{0:转账支付,1:上传回执,2:分账}"
fmys_activity_fee_refund,pay_status,tinyint,"支付状态:{1:待支付,2:支付中,3支付失败,4:已完成}"
fmys_activity_fee_refund,pay_time,int,支付时间
fmys_activity_fee_refund,pay_admin,mediumint,支付人
fmys_activity_fee_refund,receipt_info,text,回执信息
fmys_activity_fee_refund,created_at,timestamp,创建时间
fmys_activity_fee_refund,updated_at,timestamp,更新时间
fmys_admin_bank,admin_id,smallint,管理员id
fmys_admin_bank,create_time,int,创建时间
fmys_admin_bank,update_time,int,更新时间
fmys_admin_bonus,id,int,自增 id
fmys_admin_bonus,bonus_id,int,绩效id
fmys_admin_bonus,role,tinyint,"角色{1:买手,2:商运}"
fmys_admin_bonus,admin_id,int,用户id
fmys_admin_bonus,record_date,datetime,绩效月份(只到月份)
fmys_admin_bonus,created_at,datetime,创建时间
fmys_admin_bonus,updated_at,datetime,更新时间
fmys_admin_bonus,kpi_id,int,指标ID
fmys_admin_bonus,status,tinyint,"绩效状态{1:进行中,2:已结算}"
fmys_admin_bonus_kpi,id,int,自增id
fmys_admin_bonus_kpi,kpi_id,int,指标id
fmys_admin_bonus_kpi,definition,text,kpi 定义
fmys_admin_menu,id,int,自增ID
fmys_admin_menu,show_menu,tinyint,显示到菜单
fmys_admin_menu,pid,int,上级菜单ID
fmys_admin_menu,level,tinyint,层级
fmys_admin_menu,sort,smallint,排序
fmys_admin_menu_copy,id,int,自增ID
fmys_admin_menu_copy,show_menu,tinyint,显示到菜单
fmys_admin_menu_copy,pid,int,上级菜单ID
fmys_admin_menu_copy,level,tinyint,层级
fmys_admin_menu_copy,sort,smallint,排序
fmys_admin_menu_tmp,id,int,自增ID
fmys_admin_menu_tmp,show_menu,tinyint,显示到菜单
fmys_admin_menu_tmp,pid,int,上级菜单ID
fmys_admin_menu_tmp,level,tinyint,层级
fmys_admin_menu_tmp,sort,smallint,排序
fmys_admin_operation_log,log_id,bigint,自增主键
fmys_admin_operation_log,log_key,int,日志键值索引
fmys_admin_operation_log,create_time,int,创建时间
fmys_admin_operation_log,update_time,int,更新时间
fmys_admin_operation_log,created_at,timestamp,创建时间
fmys_admin_operation_log,updated_at,timestamp,更新时间
fmys_admin_setting,value,longtext,值
fmys_admin_setting,type,tinyint,类型 1系统配置
fmys_admin_setting,sort,tinyint,排序
fmys_admin_take_stock_info,admin_id,int,管理员
fmys_admin_take_stock_info,normal_box,int,常规容器id
fmys_admin_take_stock_info,blp_box,int,不良品容器id
fmys_admin_take_stock_info,parts_box,int,配件容器id
fmys_admin_take_stock_info,nodata_box,int,无数据容器id
fmys_admin_take_stock_info,stock_box,int,库存分离容器id
fmys_admin_take_stock_info,normal_box_pici_id,int,正在打标的常规容器批次
fmys_admin_take_stock_info,blp_box_pici_id,int,正在打标的不良品容器批次
fmys_admin_take_stock_info,parts_box_pici_id,int,正在打标的套装配件容器批次
fmys_admin_take_stock_info,nodata_box_pici_id,int,正在打标的无数据容器批次
fmys_admin_take_stock_info,stock_box_pici_id,int,正在打标的库存分离容器批次
fmys_admin_take_stock_info,need_parts_box,tinyint,需要绑定配件容器
fmys_admin_take_stock_info,need_stock_box,tinyint,需要绑定库存分离容器
fmys_admin_take_stock_info,create_time,int,创建时间
fmys_admin_take_stock_info,update_time,int,更新时间
fmys_admin_take_stock_info,package_type,tinyint,"绑定的包裹类型{1:大货包裹(BG),2:备货包裹(BH),3:前置仓包裹(QZ),4:达人售后包裹}"
fmys_allot_bh_data,arid,int,主键
fmys_allot_bh_data,goods_no,int,货号
fmys_allot_bh_data,user_id,int,用户id
fmys_allot_bh_data,stockouted,tinyint,是否断货过
fmys_allot_bh_data,add_time,int,创建时间
fmys_allot_detail,adid,bigint,主键
fmys_allot_detail,sirid,bigint,(废弃)入库记录id
fmys_allot_detail,order_id,int,订单id(order_id)
fmys_allot_detail,rec_id,int,订单详情id(rec_id)
fmys_allot_detail,create_time,int,创建时间
fmys_allot_detail,update_time,int,更新时间
fmys_allot_detail,status,tinyint,"状态{0:无效,1:有效}"
fmys_allot_detail_rule,adid,int,allot_detail的主键
fmys_allot_detail_rule,one_type,tinyint,"第1层:{10:现货,20:非现货}"
fmys_allot_detail_rule,two_type,tinyint,"第2层判断（数据组同步）:{1:100B,2:80B,3:50B,4:C端}，用户净值非0时:{1:100B高净值,2:80B高净值,3:50B高净值,4:B端低净值,5:其它}"
fmys_allot_detail_rule,three_type,tinyint,"第3层:{10:排单很久>7天,20:一般久3~7,30:不久<3}"
fmys_allot_detail_rule,four_type,tinyint,"第4层:{10:非常急,20:急,30:一般急,40:非加急}"
fmys_allot_detail_rule,five_type,tinyint,第5层按条件顺序判断（数据组同步）
fmys_allot_detail_rule,four_is_green,tinyint,"第4层是否绿色通道:{1:是,2:否}"
fmys_allot_detail_rule,four_out_reorder,tinyint,"第4层上一次订单商品被断货然后重新下单（货号维度）:{1:是,2:否}"
fmys_allot_detail_rule,four_change_allot,tinyint,"第4层订单商品被“改排单”（SKU维度）:{1:是,2:否}"
fmys_allot_detail_rule,four_has_as_order,tinyint,"第4层售后换货工单的客需（SKU维度）:{1:是,2:否}"
fmys_allot_detail_rule,four_reorder_30,tinyint,"第4层30天内对同一个货号商品进行复购（货号维度）:{1:是,2:否}"
fmys_allot_detail_rule,four_sku_num,smallint,第4层sku数量
fmys_allot_detail_rule,pay_time,int,支付时间
fmys_allot_detail_rule,created_at,timestamp,创建时间
fmys_allot_detail_rule,updated_at,timestamp,更新时间
fmys_allot_detail_rule,user_net_worth,smallint,用户净值:9999表示数据表中没有，10000表示数据表中为0
fmys_allot_gz_label_user_from_data,user_id,int,用户ID
fmys_allot_gz_label_user_from_data,is_order,int,是否激活用户
fmys_allot_gz_label_user_from_data,two_type,int,第2层判断:{1:100B;2:80B;3:50B;4:C端}
fmys_allot_gz_label_user_from_data,five_type,int,第5层按条件顺序判断
fmys_allot_gz_label_user_from_data,created_at,timestamp,创建时间
fmys_allot_gz_label_user_from_data,updated_at,timestamp,更新时间
fmys_allot_gz_label_user_from_data,is_100_1,int,第2层100B第1个条件有营业执照认证
fmys_allot_gz_label_user_from_data,is_100_2,int,第2层100B第2个条件近3月单月拿货额>=5000
fmys_allot_gz_label_user_from_data,is_100_3,int,第2层100B第3个条件近3个月有2个月>=2000
fmys_allot_gz_label_user_from_data,is_100_4,int,第2层100B第4个条件近3月同一订单单款拿货>=2件且单价大于等于20且总次数>=2且近3月累计大于3000
fmys_allot_gz_label_user_from_data,is_100_5,int,第2层100B第5个条件近一年拿货额>=2万
fmys_allot_gz_label_user_from_data,is_100_6,int,第2层100B第6个条件【最近3天新客且首单>=300且不低于2件】 或 【最近3天新客且认证方式为档口拿货单/发货快递记录截图/后台账号主页截图+后台上架商品截图/收入流水凭证截图/与收银台和认证码合照】
fmys_allot_gz_label_user_from_data,is_100_7,int,第2层100B第7个条件历史累计拿货额>=20W
fmys_allot_gz_label_user_from_data,is_80_1,int,第2层80B第1个条件近3月单月拿货额3000-5000
fmys_allot_gz_label_user_from_data,is_80_2,int,第2层80B第2个条件近3个月有1个月>=2000
fmys_allot_gz_label_user_from_data,is_80_3,int,第2层80B第3个条件近3月单款拿货>=2件且单价大于等于20且总次数>=2
fmys_allot_gz_label_user_from_data,is_80_4,int,第2层80B第4个条件近一年拿货额[1W-2W]
fmys_allot_gz_label_user_from_data,is_80_5,int,第2层80B第5个条件最近3天新客且店铺认证类型为“实体”
fmys_allot_gz_label_user_from_data,is_80_6,int,第2层80B第6个条件历史累计拿货额>=5W
fmys_allot_gz_label_user_from_data,is_50_1,int,第2层50B第1个条件店主认证答题通过且身份自选为B类用户的
fmys_allot_gz_label_user_from_data,is_50_2,int,第2层50B第2个条件近3月单款拿货>=2件且单价大于等于20
fmys_allot_gz_label_user_from_data,is_50_3,int,第2层50B第3个条件历史累计拿货额>=5W
fmys_allot_gz_label_user_from_data,first_time,datetime,用户首单时间
fmys_allot_gz_label_user_from_data,user_net_worth,int,用户净值(数据来源：yishou_data.new_user_feature)
fmys_allot_rule_data,rec_id,int,订单详情id
fmys_allot_rule_data,big_allot_level,smallint,"大环境优先级别(数字对应的优先级含义,要看代码,因为规则会改)"
fmys_allot_rule_data,small_allot_level,smallint,小环境优先级别
fmys_allot_rule_data,rule_rule,tinyint,"规则可选排序{1:历史累计成交额,2:历史月均成交额,3:本次订单成交额,4:下单时间}"
fmys_allot_rule_data,order_time,int,订单时间
fmys_allot_rule_data,add_time,int,添加时间
fmys_anchor,anchor_id,int,主键id
fmys_anchor,admin_id,int,关联的后台用户id
fmys_anchor,status,tinyint,"状态{1:启用,2:禁用}"
fmys_anchor,role_type,tinyint,"角色类型{1:主播,2:场控}"
fmys_anchor,create_admin,int,创建人
fmys_anchor,update_admin,int,更新人
fmys_anchor,create_time,int,创建时间
fmys_anchor,update_time,int,更新时间
fmys_anchor,city,tinyint,"城市{1:广州,2:杭州,3:深圳,4:青岛}"
fmys_anchor,parent_market_id,int,绑定一级市场id
fmys_anchor_market,anchor_market_id,int,主键
fmys_anchor_market,anchor_id,int,主播id
fmys_anchor_market,market_id,int,市场id
fmys_anchor_market,create_time,int,创建时间
fmys_anchor_market,update_time,int,修改时间
fmys_as_allot_detail,aadid,bigint,主键
fmys_as_allot_detail,sirid,bigint,(废弃)入库记录id
fmys_as_allot_detail,work_id,int,售后工单id(work_id)
fmys_as_allot_detail,order_id,int,订单id(order_id)
fmys_as_allot_detail,rec_id,int,订单详情id(rec_id)
fmys_as_allot_detail,status,tinyint,"状态{0:无效,1:有效}"
fmys_as_allot_detail,create_time,int,创建时间
fmys_as_allot_detail,update_time,int,更新时间
fmys_as_package,as_package_id,int,售后包裹
fmys_as_package,user_id,int,用户id
fmys_as_package,receive_time,int,仓库接收时间
fmys_as_package,receive_admin,smallint,接收人
fmys_as_package,receive_num,smallint,接收件数
fmys_as_package,package_status,tinyint,"包裹状态:{0:待接收,1:已接收,2:拆包中,3:异常待处理,4:异常已处理,5:已拆包}"
fmys_as_package,unpack_begin_time,int,拆包开始时间
fmys_as_package,unpack_submit_time,int,拆包提交时间
fmys_as_package,unpack_complete_time,int,拆包完成时间
fmys_as_package,origin,tinyint,"仓库:{1:广州,2:杭州}"
fmys_as_package,create_time,int,创建时间
fmys_as_package,update_time,int,更新时间
fmys_as_package_intercept,id,int,主键
fmys_as_package_intercept,intercept_admin,int,拦截人
fmys_as_package_intercept,intercept_time,int,拦截时间
fmys_as_package_intercept,status,tinyint,"{0:未拦截,1:已拦截,2:已取消}"
fmys_as_package_intercept,create_admin,int,添加人
fmys_as_package_intercept,origin,tinyint,"仓区{1:广州,2:杭州}"
fmys_as_package_intercept,create_time,int,添加时间
fmys_as_package_intercept,update_time,int,更新时间
fmys_as_package_work,as_package_id,int,售后包裹id
fmys_as_package_work,work_id,int,"service_order的id,工单id"
fmys_as_package_work,source,tinyint,"来源{1:拆包,2收包}"
fmys_as_package_work,create_time,int,创建时间
fmys_as_package_work,update_time,int,更新时间
fmys_as_refund_supply_dbid,dbid,int,打标id
fmys_as_refund_supply_dbid,refund_type,tinyint,"售后退供类型：{1:平台化商家（商家承担）,2:大牌无忧,3:100%退商品}"
fmys_as_refund_supply_dbid,created_at,timestamp,创建时间
fmys_as_refund_supply_dbid,updated_at,timestamp,更新时间
fmys_as_reject_plan_tmp,id,int,自增id
